Restaurante,Rua / Avenida,Número,Bairro,Cidade,CEP
Mcdonald's - Batista de Oliveira,R Batista de Oliveira,409,Centro,Juiz de Fora - MG,36013-300
Bob´s - Jardim Norte,Av. Brasil,6345,Mariano Procópio,Juiz de Fora - MG,36080-060
Pizza do Rão - Juiz de Fora,Rua Barbosa Lima,276,Centro,Juiz de Fora - MG,36010-050
Açaí da Hora,Avenida Getúlio Vargas,907,Centro,Juiz de Fora - MG,36013-011
Subway Santa Luzia,Avenida Ibitiguaia,318,Santa Luzia,Juiz de Fora - MG,36030-000
Marmita Top,Rua Tiradentes,671,Santa Helena,Juiz de Fora - MG,36015-455
Vaporetto Restaurante,Rua Benjamin Constant,1039,Centro,Juiz de Fora - MG,36015-400
Tempero Caseiro,Rua Jarbas de Lery Santos,1621,Centro,Juiz de Fora - MG,36013-150
Sanduba na Caixa,Rua Barbosa Lima,226,Centro,Juiz de Fora - MG,36010-050
Sabores Antepastos,Rua Halfeld,1097,Centro,Juiz de Fora - MG,36016-000
Brasileirinho Delivery,Rua Tiradentes,671,Santa Helena,Juiz de Fora - MG,36015-455
Planet Churros,Rua Tiradentes,755,Centro,Juiz de Fora - MG,36015-455
China in Box - Juiz de Fora,Rua Chanceler Oswaldo Aranha,360,São Mateus,Juiz de Fora - MG,36016-340
Aladim esfiharia e Lanchonete,Rua Piauí,145,São Bernardo,Juiz de Fora - MG,36062-130
Seu Pastel,Rua Sao Mateus,47,Sao Mateus,Juiz de Fora - MG,36025-000
Juju Caldos e Massas,Rua São Vicente,102,Costa Carvalho,Juiz de Fora - MG,36070-100
We Cafe,Rua São Mateus,972,São Mateus,Juiz de Fora - MG,36025-001
Casero Comida Mineira Marmitex & Almoço,Rua Tavares Bastos,59,São Mateus,Juiz de Fora - MG,36025-180
Restaurante na Brasa Almoço & Marmitex,Rua Luís de Camões,15,São Mateus,Juiz de Fora - MG,36025-170
Sayo Sushi,Travessa Xisto Castor,45,São Mateus,Juiz de Fora - MG,36026-010
Totonho Sao Mateus,Rua Manoel Bernardino,14,São Mateus,Juiz de Fora - MG,36016-460
Bom de garfo,Rua a,14,Ponte Preta,Juiz de Fora - MG,36092-170
Salgadier- Mini Salgados e lanches,Rua Dejanira,91,Santa Cruz,Juiz de Fora - MG,36088-010
Fome de Salgados,Rua Miguel Marinho,235,Santa Cruz,Juiz de Fora - MG,36088-240
Amor de Mãe Marmitaria,Rua Sebastião Alves Marcato,165,Nova Era,Juiz de Fora - MG,36087-060
Deligeli Moinho,Avenida Presidente Juscelino Kubitscheck,900,Industrial,Juiz de Fora - MG,36081-000
Tempero do Dia,Rua Manoel Diniz da Silva,51,Francisco Bernardino,Juiz de Fora - MG,36081-760
Cakes Nana Reis,Rua Branca,67,Milho Branco,Juiz de Fora - MG,36083-320
Angu Mineiro*Restaurante Comida Caseira*,Avenida Vasconcelos,11,Alto dos Passos,Juiz de Fora - MG,36026-480
Tempero À Mesa Marmitaria,R. Irmã Emerenciana,221,Barão do Retiro,Juiz de Fora - MG,36072-500
Restaurante e Pizzaria Dona Dora,Rua Furtado de Menezes,103,Vila Furtado de Menezes,Juiz de Fora - MG,36020-410
Parmegiana Crocante,Av. Vasconcelos,1,Passos,Juiz de Fora - MG,36026-480
A La Bia - Confeitaria,Avenida Vasconcelos,70,Alto dos Passos,Juiz de Fora - MG,36026-480
Bar do Gaúcho Parrillaria,Avenida Presidente Costa e Silva,2975,São Pedro,Juiz de Fora - MG,36038-010
Ohana Restaurante Comida Que Abraça!,Rua Professor Vilas Bouçada,577,Santos Dumont,Juiz de Fora - MG,36038-000
Restaurante Bom Sabor Jf,Rua José Lourenço,429,São Pedro,Juiz de Fora - MG,36036-230
Restaurante Estação - Fogo baixo,Rua Acácio Alves Alvin,2070,Marilândia,Juiz de Fora - MG,00036-039
Chic Frangos,Rua São Mateus,555,Sao Mateus,Juiz de Fora - MG,36025-000
Panelinha Comida Fit,Rua Olegário Maciel,1855,Paineiras,Juiz de Fora - MG,36016-011
Saladeria Express,Rua Antônio Altaf,424,Cascatinha,Juiz de Fora - MG,36033-330
Churrascaria Potência do Sul,Avenida Deusdedith Salgado,4060,Teixeiras,Juiz de Fora - MG,36033-000
Deliciarte Confeitaria Artesanal,Rua Cirene Alves da Silva,23,Arco Íris,Juiz de Fora - MG,36031-530
Restaurante Ebenézer,Rua Antônio Moreira,50,Ipiranga,Juiz de Fora - MG,36031-495
La Tagliatella House,Rua Paulo Affonso Tristão,238,Vivendas da Serra,Juiz de Fora - MG,36047-230
Costelaria Compadre Grill,Praça Artur Bernardes,94,Bandeirantes,Juiz de Fora - MG,36047-150
Santa Filomena Restaurante,Rua Paracatu,568,Santa Terezinha,Juiz de Fora - MG,36046-040
Piratas Lanches,Rua Américo Lobo,2120,Progresso,Juiz de Fora - MG,36050-285
Confetalle,Rua Professor Francisco Faria,355,Bairu,Juiz de Fora - MG,36050-140
Kfc - Shopping Jardim Norte,Avenida Brasil,6345,Mariano Procópio,Juiz de Fora - MG,36080-060
Sabor a Mais,Avenida Governador Valadares,634,Manoel Honório,Juiz de Fora - MG,36051-550
Arroz.com,Rua Major José Teixeira,264,Jóquei Clube,Juiz de Fora - MG,36083-610
Fogao Mineiro Andradas,Avenida dos Andradas,71,Centro,Juiz de Fora - MG,36036-000
Breguet's Bão Pizzaria Delivery,Rua Padre Guilherme,145,Nossa Senhora de Lourdes,Juiz de Fora - MG,36070-430
Sabor na Chapa,Rua Altivo Halfeld,81,Vila Ideal,Juiz de Fora - MG, 36020-550
Dadu Doces Confeitaria,Rua Monsenhor Gustavo Freire,527,São Mateus,Juiz de Fora - MG,36016-470
Bar do Manel,Rua Padre Café,296,São Mateus,Juiz de Fora - MG,36016-450
"O Que Comer, Fernando?",Rua Tiradentes,671,Santa Helena,Juiz de Fora - MG,36015-360
Culinária da Juju,Rua José Dias Ferreira,326,São Francisco de Paula,Juiz de Fora - MG,36087-470
Padaria da Dona Joana,Rua Monsenhor Francisco de Paula Salgado,174,São Judas Tadeu,Juiz de Fora - MG,36087-560